T, [([], '1'), ('A', '1')],0,1
A', [([], '1'), ('A', '0')],1,1
B', [([], '1'), ('B', '0')],1,1
C', [([], '1'), ('C', '0')],1,1
D', [([], '1'), ('D', '0')],1,1
A, [([], '0'), ('A', '1')],1,1
F, [([], '0'), ('A', '0')],0,1
B, [([], '0'), ('B', '1')],1,1
C, [([], '0'), ('C', '1')],1,1
D, [([], '0'), ('D', '1')],1,1
A'B', [([], '1'), ('A', '0'), ('B', '0')],2,2
A'C', [([], '1'), ('A', '0'), ('C', '0')],2,2
A'D', [([], '1'), ('A', '0'), ('D', '0')],2,2
B'C', [([], '1'), ('B', '0'), ('C', '0')],2,2
B'D', [([], '1'), ('B', '0'), ('D', '0')],2,2
C'D', [([], '1'), ('C', '0'), ('D', '0')],2,2
A+B, [([], '0'), ('A', '1'), ('B', '1')],2,2
A+C, [([], '0'), ('A', '1'), ('C', '1')],2,2
A+D, [([], '0'), ('A', '1'), ('D', '1')],2,2
B+C, [([], '0'), ('B', '1'), ('C', '1')],2,2
B+D, [([], '0'), ('B', '1'), ('D', '1')],2,2
C+D, [([], '0'), ('C', '1'), ('D', '1')],2,2
A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0')],3,3
A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0')],3,3
A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0')],3,3
B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0')],3,3
A+B+C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1')],3,3
A+B+D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1')],3,3
A+C+D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1')],3,3
B+C+D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1')],3,3
A'+B, [([], '1'), ('A', '0'), (('A', 'B'), '1')],2,3
A'+C, [([], '1'), ('A', '0'), (('A', 'C'), '1')],2,3
A'+D, [([], '1'), ('A', '0'), (('A', 'D'), '1')],2,3
A+B', [([], '1'), ('B', '0'), (('A', 'B'), '1')],2,3
B'+C, [([], '1'), ('B', '0'), (('B', 'C'), '1')],2,3
B'+D, [([], '1'), ('B', '0'), (('B', 'D'), '1')],2,3
A+C', [([], '1'), ('C', '0'), (('A', 'C'), '1')],2,3
B+C', [([], '1'), ('C', '0'), (('B', 'C'), '1')],2,3
C'+D, [([], '1'), ('C', '0'), (('C', 'D'), '1')],2,3
A+D', [([], '1'), ('D', '0'), (('A', 'D'), '1')],2,3
B+D', [([], '1'), ('D', '0'), (('B', 'D'), '1')],2,3
C+D', [([], '1'), ('D', '0'), (('C', 'D'), '1')],2,3
AB', [([], '0'), ('A', '1'), (('A', 'B'), '0')],2,3
AC', [([], '0'), ('A', '1'), (('A', 'C'), '0')],2,3
AD', [([], '0'), ('A', '1'), (('A', 'D'), '0')],2,3
A'B, [([], '0'), ('B', '1'), (('A', 'B'), '0')],2,3
BC', [([], '0'), ('B', '1'), (('B', 'C'), '0')],2,3
BD', [([], '0'), ('B', '1'), (('B', 'D'), '0')],2,3
A'C, [([], '0'), ('C', '1'), (('A', 'C'), '0')],2,3
B'C, [([], '0'), ('C', '1'), (('B', 'C'), '0')],2,3
CD', [([], '0'), ('C', '1'), (('C', 'D'), '0')],2,3
A'D, [([], '0'), ('D', '1'), (('A', 'D'), '0')],2,3
B'D, [([], '0'), ('D', '1'), (('B', 'D'), '0')],2,3
C'D, [([], '0'), ('D', '1'), (('C', 'D'), '0')],2,3
A'B'C'D', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('D', '0')],4,4
A+B+C+D, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('D', '1')],4,4
A'+B', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],2,4
A'+C', [([], '1'), ('A', '1'), ('C', '1'), (('A', 'C'), '0')],2,4
A'+D', [([], '1'), ('A', '1'), ('D', '1'), (('A', 'D'), '0')],2,4
AB+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'B'), '1')],4,4
C+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'C'), '1')],3,4
D+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'D'), '1')],3,4
B+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'B'), '1')],3,4
AC+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'C'), '1')],4,4
D+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'D'), '1')],3,4
B+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'B'), '1')],3,4
C+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'C'), '1')],3,4
AD+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'D'), '1')],4,4
B'+C', [([], '1'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],2,4
B'+D', [([], '1'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],2,4
A+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('A', 'B'), '1')],3,4
BC+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],4,4
D+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('B', 'D'), '1')],3,4
A+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('A', 'B'), '1')],3,4
C+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('B', 'C'), '1')],3,4
BD+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],4,4
C'+D', [([], '1'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],2,4
A+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('A', 'C'), '1')],3,4
B+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('B', 'C'), '1')],3,4
CD+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],4,4
AB'+A'B, [([], '0'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],4,4
B+AC', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'C'), '0')],3,4
B+AD', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'D'), '0')],3,4
A+BC', [([], '0'), ('A', '1'), ('B', '1'), (('B', 'C'), '0')],3,4
A+BD', [([], '0'), ('A', '1'), ('B', '1'), (('B', 'D'), '0')],3,4
C+AB', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B'), '0')],3,4
AC'+A'C, [([], '0'), ('A', '1'), ('C', '1'), (('A', 'C'), '0')],4,4
C+AD', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'D'), '0')],3,4
A+B'C, [([], '0'), ('A', '1'), ('C', '1'), (('B', 'C'), '0')],3,4
A+CD', [([], '0'), ('A', '1'), ('C', '1'), (('C', 'D'), '0')],3,4
D+AB', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B'), '0')],3,4
D+AC', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'C'), '0')],3,4
AD'+A'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'D'), '0')],4,4
A+B'D, [([], '0'), ('A', '1'), ('D', '1'), (('B', 'D'), '0')],3,4
A+C'D, [([], '0'), ('A', '1'), ('D', '1'), (('C', 'D'), '0')],3,4
AB, [([], '0'), ('A', '0'), ('B', '0'), (('A', 'B'), '1')],2,4
AC, [([], '0'), ('A', '0'), ('C', '0'), (('A', 'C'), '1')],2,4
AD, [([], '0'), ('A', '0'), ('D', '0'), (('A', 'D'), '1')],2,4
C+A'B, [([], '0'), ('B', '1'), ('C', '1'), (('A', 'B'), '0')],3,4
