T, [([], '1'), ('A', '1')],0,1
A', [([], '1'), ('A', '0')],1,1
B', [([], '1'), ('B', '0')],1,1
C', [([], '1'), ('C', '0')],1,1
D', [([], '1'), ('D', '0')],1,1
E', [([], '1'), ('E', '0')],1,1
A, [([], '0'), ('A', '1')],1,1
F, [([], '0'), ('A', '0')],0,1
B, [([], '0'), ('B', '1')],1,1
C, [([], '0'), ('C', '1')],1,1
D, [([], '0'), ('D', '1')],1,1
E, [([], '0'), ('E', '1')],1,1
A'B', [([], '1'), ('A', '0'), ('B', '0')],2,2
A'C', [([], '1'), ('A', '0'), ('C', '0')],2,2
A'D', [([], '1'), ('A', '0'), ('D', '0')],2,2
A'E', [([], '1'), ('A', '0'), ('E', '0')],2,2
B'C', [([], '1'), ('B', '0'), ('C', '0')],2,2
B'D', [([], '1'), ('B', '0'), ('D', '0')],2,2
B'E', [([], '1'), ('B', '0'), ('E', '0')],2,2
C'D', [([], '1'), ('C', '0'), ('D', '0')],2,2
C'E', [([], '1'), ('C', '0'), ('E', '0')],2,2
D'E', [([], '1'), ('D', '0'), ('E', '0')],2,2
A+B, [([], '0'), ('A', '1'), ('B', '1')],2,2
A+C, [([], '0'), ('A', '1'), ('C', '1')],2,2
A+D, [([], '0'), ('A', '1'), ('D', '1')],2,2
A+E, [([], '0'), ('A', '1'), ('E', '1')],2,2
B+C, [([], '0'), ('B', '1'), ('C', '1')],2,2
B+D, [([], '0'), ('B', '1'), ('D', '1')],2,2
B+E, [([], '0'), ('B', '1'), ('E', '1')],2,2
C+D, [([], '0'), ('C', '1'), ('D', '1')],2,2
C+E, [([], '0'), ('C', '1'), ('E', '1')],2,2
D+E, [([], '0'), ('D', '1'), ('E', '1')],2,2
A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0')],3,3
A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0')],3,3
A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0')],3,3
A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0')],3,3
A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0')],3,3
A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0')],3,3
B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0')],3,3
B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0')],3,3
B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0')],3,3
C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0')],3,3
A+B+C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1')],3,3
A+B+D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1')],3,3
A+B+E, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1')],3,3
A+C+D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1')],3,3
A+C+E, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1')],3,3
A+D+E, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1')],3,3
B+C+D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1')],3,3
B+C+E, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1')],3,3
B+D+E, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1')],3,3
C+D+E, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1')],3,3
A'+B, [([], '1'), ('A', '0'), (('A', 'B'), '1')],2,3
A'+C, [([], '1'), ('A', '0'), (('A', 'C'), '1')],2,3
A'+D, [([], '1'), ('A', '0'), (('A', 'D'), '1')],2,3
A'+E, [([], '1'), ('A', '0'), (('A', 'E'), '1')],2,3
A+B', [([], '1'), ('B', '0'), (('A', 'B'), '1')],2,3
B'+C, [([], '1'), ('B', '0'), (('B', 'C'), '1')],2,3
B'+D, [([], '1'), ('B', '0'), (('B', 'D'), '1')],2,3
B'+E, [([], '1'), ('B', '0'), (('B', 'E'), '1')],2,3
A+C', [([], '1'), ('C', '0'), (('A', 'C'), '1')],2,3
B+C', [([], '1'), ('C', '0'), (('B', 'C'), '1')],2,3
C'+D, [([], '1'), ('C', '0'), (('C', 'D'), '1')],2,3
C'+E, [([], '1'), ('C', '0'), (('C', 'E'), '1')],2,3
A+D', [([], '1'), ('D', '0'), (('A', 'D'), '1')],2,3
B+D', [([], '1'), ('D', '0'), (('B', 'D'), '1')],2,3
C+D', [([], '1'), ('D', '0'), (('C', 'D'), '1')],2,3
D'+E, [([], '1'), ('D', '0'), (('D', 'E'), '1')],2,3
A+E', [([], '1'), ('E', '0'), (('A', 'E'), '1')],2,3
B+E', [([], '1'), ('E', '0'), (('B', 'E'), '1')],2,3
C+E', [([], '1'), ('E', '0'), (('C', 'E'), '1')],2,3
D+E', [([], '1'), ('E', '0'), (('D', 'E'), '1')],2,3
AB', [([], '0'), ('A', '1'), (('A', 'B'), '0')],2,3
AC', [([], '0'), ('A', '1'), (('A', 'C'), '0')],2,3
AD', [([], '0'), ('A', '1'), (('A', 'D'), '0')],2,3
AE', [([], '0'), ('A', '1'), (('A', 'E'), '0')],2,3
A'B, [([], '0'), ('B', '1'), (('A', 'B'), '0')],2,3
BC', [([], '0'), ('B', '1'), (('B', 'C'), '0')],2,3
BD', [([], '0'), ('B', '1'), (('B', 'D'), '0')],2,3
BE', [([], '0'), ('B', '1'), (('B', 'E'), '0')],2,3
A'C, [([], '0'), ('C', '1'), (('A', 'C'), '0')],2,3
B'C, [([], '0'), ('C', '1'), (('B', 'C'), '0')],2,3
CD', [([], '0'), ('C', '1'), (('C', 'D'), '0')],2,3
CE', [([], '0'), ('C', '1'), (('C', 'E'), '0')],2,3
A'D, [([], '0'), ('D', '1'), (('A', 'D'), '0')],2,3
B'D, [([], '0'), ('D', '1'), (('B', 'D'), '0')],2,3
C'D, [([], '0'), ('D', '1'), (('C', 'D'), '0')],2,3
DE', [([], '0'), ('D', '1'), (('D', 'E'), '0')],2,3
A'E, [([], '0'), ('E', '1'), (('A', 'E'), '0')],2,3
B'E, [([], '0'), ('E', '1'), (('B', 'E'), '0')],2,3
C'E, [([], '0'), ('E', '1'), (('C', 'E'), '0')],2,3
D'E, [([], '0'), ('E', '1'), (('D', 'E'), '0')],2,3
A'B'C'D', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('D', '0')],4,4
A'B'C'E', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('E', '0')],4,4
A'B'D'E', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), ('E', '0')],4,4
A'C'D'E', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), ('E', '0')],4,4
B'C'D'E', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), ('E', '0')],4,4
A+B+C+D, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('D', '1')],4,4
A+B+C+E, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('E', '1')],4,4
A+B+D+E, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), ('E', '1')],4,4
A+C+D+E, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), ('E', '1')],4,4
B+C+D+E, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), ('E', '1')],4,4
A'+B', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],2,4
A'+C', [([], '1'), ('A', '1'), ('C', '1'), (('A', 'C'), '0')],2,4
A'+D', [([], '1'), ('A', '1'), ('D', '1'), (('A', 'D'), '0')],2,4
A'+E', [([], '1'), ('A', '1'), ('E', '1'), (('A', 'E'), '0')],2,4
AB+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'B'), '1')],4,4
C+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'C'), '1')],3,4
D+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'D'), '1')],3,4
E+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'E'), '1')],3,4
B+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'B'), '1')],3,4
AC+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'C'), '1')],4,4
D+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'D'), '1')],3,4
E+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'E'), '1')],3,4
B+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'B'), '1')],3,4
C+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'C'), '1')],3,4
AD+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'D'), '1')],4,4
E+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'E'), '1')],3,4
B+A'E', [([], '1'), ('A', '0'), ('E', '0'), (('A', 'B'), '1')],3,4
C+A'E', [([], '1'), ('A', '0'), ('E', '0'), (('A', 'C'), '1')],3,4
D+A'E', [([], '1'), ('A', '0'), ('E', '0'), (('A', 'D'), '1')],3,4
AE+A'E', [([], '1'), ('A', '0'), ('E', '0'), (('A', 'E'), '1')],4,4
B'+C', [([], '1'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],2,4
B'+D', [([], '1'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],2,4
B'+E', [([], '1'), ('B', '1'), ('E', '1'), (('B', 'E'), '0')],2,4
A+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('A', 'B'), '1')],3,4
BC+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],4,4
D+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('B', 'D'), '1')],3,4
E+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('B', 'E'), '1')],3,4
A+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('A', 'B'), '1')],3,4
C+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('B', 'C'), '1')],3,4
BD+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],4,4
E+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('B', 'E'), '1')],3,4
A+B'E', [([], '1'), ('B', '0'), ('E', '0'), (('A', 'B'), '1')],3,4
C+B'E', [([], '1'), ('B', '0'), ('E', '0'), (('B', 'C'), '1')],3,4
D+B'E', [([], '1'), ('B', '0'), ('E', '0'), (('B', 'D'), '1')],3,4
BE+B'E', [([], '1'), ('B', '0'), ('E', '0'), (('B', 'E'), '1')],4,4
C'+D', [([], '1'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],2,4
C'+E', [([], '1'), ('C', '1'), ('E', '1'), (('C', 'E'), '0')],2,4
A+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('A', 'C'), '1')],3,4
B+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('B', 'C'), '1')],3,4
CD+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],4,4
E+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('C', 'E'), '1')],3,4
A+C'E', [([], '1'), ('C', '0'), ('E', '0'), (('A', 'C'), '1')],3,4
B+C'E', [([], '1'), ('C', '0'), ('E', '0'), (('B', 'C'), '1')],3,4
D+C'E', [([], '1'), ('C', '0'), ('E', '0'), (('C', 'D'), '1')],3,4
CE+C'E', [([], '1'), ('C', '0'), ('E', '0'), (('C', 'E'), '1')],4,4
D'+E', [([], '1'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],2,4
A+D'E', [([], '1'), ('D', '0'), ('E', '0'), (('A', 'D'), '1')],3,4
B+D'E', [([], '1'), ('D', '0'), ('E', '0'), (('B', 'D'), '1')],3,4
C+D'E', [([], '1'), ('D', '0'), ('E', '0'), (('C', 'D'), '1')],3,4
DE+D'E', [([], '1'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],4,4
AB'+A'B, [([], '0'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],4,4
B+AC', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'C'), '0')],3,4
B+AD', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'D'), '0')],3,4
B+AE', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'E'), '0')],3,4
A+BC', [([], '0'), ('A', '1'), ('B', '1'), (('B', 'C'), '0')],3,4
A+BD', [([], '0'), ('A', '1'), ('B', '1'), (('B', 'D'), '0')],3,4
A+BE', [([], '0'), ('A', '1'), ('B', '1'), (('B', 'E'), '0')],3,4
C+AB', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B'), '0')],3,4
AC'+A'C, [([], '0'), ('A', '1'), ('C', '1'), (('A', 'C'), '0')],4,4
C+AD', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'D'), '0')],3,4
C+AE', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'E'), '0')],3,4
A+B'C, [([], '0'), ('A', '1'), ('C', '1'), (('B', 'C'), '0')],3,4
A+CD', [([], '0'), ('A', '1'), ('C', '1'), (('C', 'D'), '0')],3,4
A+CE', [([], '0'), ('A', '1'), ('C', '1'), (('C', 'E'), '0')],3,4
D+AB', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B'), '0')],3,4
D+AC', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'C'), '0')],3,4
AD'+A'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'D'), '0')],4,4
D+AE', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'E'), '0')],3,4
A+B'D, [([], '0'), ('A', '1'), ('D', '1'), (('B', 'D'), '0')],3,4
A+C'D, [([], '0'), ('A', '1'), ('D', '1'), (('C', 'D'), '0')],3,4
A+DE', [([], '0'), ('A', '1'), ('D', '1'), (('D', 'E'), '0')],3,4
E+AB', [([], '0'), ('A', '1'), ('E', '1'), (('A', 'B'), '0')],3,4
E+AC', [([], '0'), ('A', '1'), ('E', '1'), (('A', 'C'), '0')],3,4
E+AD', [([], '0'), ('A', '1'), ('E', '1'), (('A', 'D'), '0')],3,4
AE'+A'E, [([], '0'), ('A', '1'), ('E', '1'), (('A', 'E'), '0')],4,4
A+B'E, [([], '0'), ('A', '1'), ('E', '1'), (('B', 'E'), '0')],3,4
A+C'E, [([], '0'), ('A', '1'), ('E', '1'), (('C', 'E'), '0')],3,4
A+D'E, [([], '0'), ('A', '1'), ('E', '1'), (('D', 'E'), '0')],3,4
AB, [([], '0'), ('A', '0'), ('B', '0'), (('A', 'B'), '1')],2,4
AC, [([], '0'), ('A', '0'), ('C', '0'), (('A', 'C'), '1')],2,4
AD, [([], '0'), ('A', '0'), ('D', '0'), (('A', 'D'), '1')],2,4
